,UserName,DeltaPercentage,TotalViewerCount,LeaversFollowers
406,루시아,0.05258214587315857,5064775,1
407,FabulousN,0.09850835895539534,1613365,1
408,PinkWardlol,0.07004966532658863,3211728,2
409,피닉스박1,-0.05280216073969107,5863276,0
410,rainbrain,0.07057739267628343,10747827,0
411,하로맨,0.017362762871377335,966965,0
412,Faker,-3.3403543783442444,66177341,4
413,한동숙,-1.6282136086220387,50998396,2
414,TFBlade,0.6602578239022163,37547888,4
415,jovirone,1.9309752843645622,56151830,2
416,Shiphtur,1.669024757688493,46028506,4
417,테디이,0.7516426552488307,2350766,2
418,スタンミ,0.28927228370477653,5913220,0
419,OgamingLoL,1.0051784969006285,164950493,1
420,Solary,-2.2112795881214447,87110241,0
421,imaqtpie,0.7211060790743409,322465881,4
422,Rakyz,0.7537255044921352,1181966,1
423,lol_Khan,-0.08530068497975529,1530934,2
424,kev1nTV,0.45950097142669655,14245375,2
425,西門夜說,-0.24260287359790644,28278737,0
426,Opat04,0.12514899566547588,4383579,0
427,clid,-0.877517851767121,957268,1
428,박옥자누나,0.26601719556467907,5336005,2
429,인간젤리,-0.006398839612761997,8507920,2
430,FabulousN,0.08558234406089815,1613365,1
431,루시아,0.021155768387037144,5064775,1
432,Corobizar,-1.2892017218864922,7754001,0
433,PinkWardlol,0.03798299609487138,3211728,2
434,rainbrain,0.05385273114925837,10747827,0
435,피닉스박1,-0.14868583603196417,5863276,0
436,하로맨,0.0075365075745535415,966965,0
437,Faker,-1.1129572262481737,66177341,5
438,한동숙,-1.1385636801179135,50998396,3
439,TFBlade,0.5841193263216038,37547888,4
440,jovirone,2.0405361057925946,56151830,2
441,Shiphtur,1.7014873553490186,46028506,4
442,OgamingLoL,1.6288370083888792,164950493,1
443,imaqtpie,1.3593064548676765,322465881,4
444,테디이,0.33706748500681205,2350766,3
445,スタンミ,0.054451979536905615,5913220,0
446,Solary,-2.243705157361438,87110241,0
447,Rakyz,0.7513352077024147,1181966,1
448,kev1nTV,0.5538872174574568,14245375,2
449,Opat04,0.2657819782443104,4383579,0
450,西門夜說,-0.19670794372605727,28278737,0
451,Corobizar,-0.8879938065656641,7754001,0
452,FabulousN,0.12222326469069944,1613365,1
453,박옥자누나,0.09416807089830503,5336005,3
454,clid,-1.0654099565715942,957268,2
455,루시아,-0.005304283144026201,5064775,1
456,피닉스박1,-0.08441286129583608,5863276,1
457,rainbrain,0.014321202105548436,10747827,0
458,PinkWardlol,-0.11460921749611308,3211728,2
459,하로맨,-0.041527073995742514,966965,0
460,한동숙,0.474341438167599,50998396,3
461,jovirone,4.412458453172488,56151830,2
462,TFBlade,1.8636245621785532,37547888,4
463,Shiphtur,2.968346160229597,46028506,4
464,imaqtpie,2.318730466576411,322465881,4
465,OgamingLoL,2.2362143816476707,164950493,1
466,테디이,1.207020949166831,2350766,4
467,Solary,-1.2320107279174053,87110241,0
468,Corobizar,-0.3219107144984188,7754001,0
469,Opat04,0.5919615074941919,4383579,0
470,Rakyz,0.9778215975516835,1181966,1
471,西門夜說,-0.06720979859206988,28278737,0
472,kev1nTV,0.60765479825934,14245375,2
473,FabulousN,0.5106145519355222,1613365,1
474,박옥자누나,0.2525473792525229,5336005,3
475,피닉스박1,-0.014799813142350404,5863276,1
476,PinkWardlol,0.010025459950911753,3211728,2
477,Metaphor,-0.027549001584058985,2422325,1
478,rhobalas_lol,-0.09807405842823042,2205374,0
479,한동숙,-0.35884072893133023,50998396,4
480,jovirone,4.727454629438135,56151830,2
481,TFBlade,1.5961124898521923,37547888,3
482,Shiphtur,3.251695346471892,46028506,3
483,imaqtpie,3.03964258071324,322465881,3
484,OgamingLoL,3.0024073348337486,164950493,1
485,Solary,-1.1752280396724393,87110241,0
486,테디이,1.0753717286696038,2350766,4
487,Corobizar,-0.16693735504232676,7754001,0
488,Rakyz,1.1806077305032057,1181966,1
489,西門夜說,0.1099195869489249,28278737,0
490,kev1nTV,0.708887140047524,14245375,2
491,Opat04,0.39213801224040223,4383579,0
492,FabulousN,0.49489347973080544,1613365,1
493,SoloRenektonOnly,-0.9759119148417812,11653376,3
494,피닉스박1,-0.05030014602512001,5863276,1
495,Metaphor,0.07155249329705671,2422325,1
496,한동숙,-1.9153562632770118,50998396,4
497,jovirone,4.113134113422649,56151830,2
498,TFBlade,0.9736421765730805,37547888,3
499,imaqtpie,2.8307031336803425,322465881,3
500,Shiphtur,2.093848284835979,46028506,3
501,OgamingLoL,2.513434066264946,164950493,1
502,NoWay4u_Sir,-3.350870557899194,38866827,2
503,Solary,-2.0982380654403947,87110241,0
504,Rakyz,1.2858526051663564,1181966,1
505,Corobizar,-0.4267791876409732,7754001,0
506,Opat04,0.2243737276178791,4383579,0
507,SoloRenektonOnly,-0.5949165479708342,11653376,3
508,kev1nTV,0.3246929708066132,14245375,1
509,FabulousN,0.2532698478497297,1613365,1
510,AdamKissAK,0.47153690375044127,9083903,0
511,PinkWardlol,-0.08142348320588177,3211728,1
512,피닉스박1,-0.15513438030447313,5863276,1
513,한동숙,-2.7369844654083497,50998396,4
514,jovirone,3.2936757028589705,56151830,2
515,NoWay4u_Sir,-1.0598336429101325,38866827,2
516,TFBlade,0.1147110475772708,37547888,3
517,imaqtpie,2.4116735234490725,322465881,3
518,Shiphtur,1.4951869055906093,46028506,3
519,OgamingLoL,1.8823564532674326,164950493,1
520,Solary,-2.13483075018347,87110241,0
521,Rakyz,1.1610847434849343,1181966,1
522,AdamKissAK,0.7439168834753067,9083903,0
523,Corobizar,-0.7715717093008032,7754001,0
524,Opat04,0.045309057393808416,4383579,0
525,SoloRenektonOnly,-0.6790148969457993,11653376,3
526,kev1nTV,0.1514655577838453,14245375,1
527,FabulousN,-0.11341303179818929,1613365,1
528,한동숙,-3.2949784089968723,50998396,4
529,NoWay4u_Sir,0.21533881185685022,38866827,3
530,jovirone,3.1018600760252664,56151830,2
531,imaqtpie,2.3869854660495418,322465881,4
532,OgamingLoL,2.3417540657727036,164950493,1
533,Shiphtur,1.5070329255819737,46028506,4
534,Solary,-2.406711267618112,87110241,0
535,AdamKissAK,1.0542784792762967,9083903,0
536,Corobizar,-0.6959183042382988,7754001,0
537,SoloRenektonOnly,-0.6112261334530192,11653376,4
538,Opat04,0.05116363697336668,4383579,0
539,kev1nTV,0.07578686339046525,14245375,1
540,한동숙,-2.6465675410875793,50998396,4
541,NoWay4u_Sir,1.7962057437539292,38866827,3
542,jovirone,2.872427158509179,56151830,1
543,Shiphtur,2.079576681324861,46028506,3
544,imaqtpie,2.3568596936019857,322465881,3
545,Solary,-1.5905298584629368,87110241,0
546,AdamKissAK,1.0307388754987223,9083903,0
547,Opat04,0.06906967416616339,4383579,0
548,OgamingLoL,-0.09748988130260339,164950493,2
549,SoloRenektonOnly,-0.7601840054947167,11653376,3
550,grafo,-0.4714961654145384,10105128,0
551,kev1nTV,0.09786521754789534,14245375,1
552,Metaphor,-0.07156520047685916,2422325,2
553,NoWay4u_Sir,2.0102525370644333,38866827,3
554,한동숙,-4.1806190183002965,50998396,4
555,jovirone,2.5631951395025867,56151830,1
556,imaqtpie,2.358685669520443,322465881,4
557,Shiphtur,1.2273125429341445,46028506,4
558,Solary,-1.9418482449858625,87110241,0
559,AdamKissAK,0.8962031266782984,9083903,0
560,OgamingLoL,0.033439759572526095,164950493,2
561,grafo,-0.4165915539878047,10105128,0
562,Opat04,-0.1623057133104283,4383579,0
563,rhobalas_lol,-0.13173667020239915,2205374,0
564,NoWay4u_Sir,2.183123464704348,38866827,3
565,한동숙,-4.066410285940666,50998396,4
566,jovirone,2.9105576321344326,56151830,2
567,imaqtpie,3.2259686969019334,322465881,5
568,Shiphtur,2.0078147436647393,46028506,5
569,Solary,-1.9540024273316923,87110241,0
570,AdamKissAK,0.7571614736929932,9083903,0
571,OgamingLoL,-0.15463674288325258,164950493,2
572,Opat04,-0.3526055094505914,4383579,0
573,rhobalas_lol,-0.12493149407222937,2205374,0
574,NoWay4u_Sir,2.697769345767874,38866827,3
575,jovirone,4.261828820410014,56151830,2
576,imaqtpie,3.106470041014113,322465881,5
577,Shiphtur,1.7832169931501374,46028506,5
578,AdamKissAK,0.85543071389382,9083903,0
579,OgamingLoL,-0.24830520082172347,164950493,3
580,rhobalas_lol,-0.04785122339127973,2205374,0
